Raca,Sexo,Idade,peso_kg,porte_animal,Nivel_Atividade_Pet,Dieta_Atual,Marca_Racao,caminhada_diaria_km,Medicamentos,Convulsoes,Horas_Sono,Tempo_Brincadeira_Horas,Visitas_Anuais_Veterinario,calorias_diarias_RER,Status_Saude,Recomendacao_Racao_IA
Beagle,Fêmea,9.0,31.3,Grande,Baixo,Caseira,Special,1.61,Sim,Não,10.0,2.0,0.0,926.31,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Dachshund,Macho,9.0,9.98,Pequeno,Ativo,Ração Seca,Nutro,4.83,Não,Não,12.0,3.0,0.0,393.05,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Poodle,Macho,8.0,15.42,Médio,Ativo,Ração Seca,Iams,6.44,Não,Não,11.0,1.0,0.0,544.7,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Chihuahua,Macho,4.0,22.68,Médio,Ativo,Caseira,Special,8.05,Não,Não,10.0,2.0,3.0,727.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,Macho,8.0,30.84,Grande,Ativo,Úmida,Hill's Science,1.61,Sim,Não,11.0,1.0,1.0,916.08,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,Fêmea,3.0,26.76,Grande,Baixo,Especial,Blue Buffalo,4.83,Não,Não,11.0,1.0,4.0,823.59,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,Macho,6.0,26.31,Grande,Ativo,Caseira,Special,3.22,Não,Não,12.0,1.0,2.0,813.18,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,Fêmea,11.0,18.6,Médio,Ativo,Úmida,Nutro,3.22,Não,Não,10.0,2.0,0.0,626.95,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,Macho,12.0,14.97,Médio,Baixo,Úmida,Wellness,6.44,Não,Não,11.0,1.0,0.0,532.74,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Golden Retriever,Fêmea,13.0,21.77,Médio,Ativo,Caseira,Special,3.22,Sim,Não,11.0,1.0,2.0,705.49,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Great Dane,Fêmea,8.0,25.85,Grande,Baixo,Ração Seca,Royal Canin,3.22,Sim,Não,11.0,1.0,1.0,802.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Beagle,Fêmea,10.0,34.47,Grande,Ativo,Ração Seca,Hill's Science,4.83,Sim,Não,10.0,2.0,0.0,995.82,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Boxer,Fêmea,3.0,21.32,Médio,Baixo,Especial,Nutro,4.83,Não,Não,11.0,2.0,2.0,694.53,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Rottweiler,Macho,1.0,37.65,Grande,Baixo,Especial,Pedigree,4.83,Não,Não,12.0,2.0,0.0,1063.95,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Great Dane,Macho,13.0,24.04,Médio,Ativo,Caseira,Special,3.22,Sim,Não,11.0,2.0,1.0,759.97,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,Macho,3.0,22.68,Médio,Ativo,Especial,Purina,4.83,Sim,Não,10.0,0.0,0.0,727.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,Macho,9.0,19.96,Médio,Muito Ativo,Úmida,Royal Canin,1.61,Sim,Não,9.0,2.0,1.0,661.03,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
German Shepherd,Fêmea,6.0,29.03,Grande,Ativo,Especial,Nutro,1.61,Sim,Não,12.0,2.0,1.0,875.45,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Golden Retriever,Macho,11.0,23.13,Médio,Ativo,Úmida,Pedigree,1.61,Sim,Não,10.0,2.0,1.0,738.29,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,Macho,5.0,22.68,Médio,Baixo,Úmida,Nutro,4.83,Não,Não,10.0,1.0,2.0,727.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,Fêmea,5.0,16.33,Médio,Moderado,Ração Seca,Hill's Science,3.22,Sim,Não,12.0,1.0,1.0,568.64,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Beagle,Fêmea,9.0,17.24,Médio,Moderado,Caseira,Special,3.22,Não,Não,9.0,1.0,4.0,592.24,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Great Dane,Fêmea,7.0,22.68,Médio,Baixo,Ração Seca,Hill's Science,4.83,Não,Não,14.0,2.0,0.0,727.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,Macho,9.0,25.4,Grande,Muito Ativo,Caseira,Special,3.22,Não,Não,11.0,0.0,0.0,792.0,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,Macho,11.0,21.32,Médio,Baixo,Úmida,Wellness,4.83,Não,Não,13.0,1.0,1.0,694.53,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,Macho,6.0,23.13,Médio,Baixo,Caseira,Special,3.22,Não,Não,10.0,3.0,3.0,738.29,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,Fêmea,7.0,20.41,Médio,Ativo,Ração Seca,Wellness,6.44,Não,Não,10.0,1.0,3.0,672.17,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,Macho,12.0,22.68,Médio,Muito Ativo,Especial,Wellness,4.83,Não,Não,8.0,0.0,4.0,727.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,Macho,12.0,10.43,Médio,Baixo,Ração Seca,Nutro,3.22,Não,Não,10.0,2.0,1.0,406.27,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Yorkshire Terrier,Macho,3.0,12.7,Médio,Muito Ativo,Úmida,Nutro,0.0,Sim,Não,9.0,3.0,2.0,470.92,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,Fêmea,6.0,28.58,Grande,Baixo,Caseira,Special,4.83,Não,Não,11.0,3.0,4.0,865.26,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,Fêmea,10.0,16.33,Médio,Ativo,Úmida,Royal Canin,4.83,Não,Não,11.0,3.0,1.0,568.64,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Chihuahua,Macho,5.0,14.51,Médio,Muito Ativo,Caseira,Special,4.83,Não,Não,11.0,1.0,0.0,520.41,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Dachshund,Fêmea,8.0,13.61,Médio,Ativo,Ração Seca,Nutro,8.05,Sim,Não,13.0,2.0,0.0,496.01,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
German Shepherd,Fêmea,13.0,33.11,Grande,Moderado,Úmida,Special,1.61,Sim,Sim,11.0,1.0,1.0,966.2,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Boxer,Macho,6.0,19.96,Médio,Ativo,Especial,Iams,6.44,Sim,Não,12.0,1.0,1.0,661.03,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Chihuahua,Macho,5.0,26.76,Grande,Muito Ativo,Úmida,Blue Buffalo,6.44,Sim,Não,10.0,3.0,0.0,823.59,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
SRD (Sem Raça Definida),Fêmea,7.0,24.95,Médio,Moderado,Especial,Hill's Science,3.22,Sim,Não,10.0,0.0,3.0,781.45,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,Macho,11.0,26.31,Grande,Ativo,Caseira,Special,4.83,Não,Não,11.0,2.0,1.0,813.18,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Siberian Husky,Macho,9.0,25.4,Grande,Ativo,Úmida,Wellness,4.83,Não,Não,12.0,1.0,4.0,792.0,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Bulldog,Macho,13.0,37.65,Grande,Baixo,Caseira,Special,4.83,Não,Não,11.0,2.0,2.0,1063.95,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,Fêmea,9.0,18.14,Médio,Ativo,Ração Seca,Hill's Science,4.83,Sim,Não,9.0,2.0,2.0,615.28,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Chihuahua,Fêmea,7.0,29.48,Grande,Ativo,Úmida,Purina,1.61,Sim,Não,10.0,0.0,0.0,885.61,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Rottweiler,Fêmea,2.0,21.32,Médio,Moderado,Especial,Iams,6.44,Não,Não,12.0,4.0,3.0,694.53,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,Macho,11.0,19.5,Médio,Ativo,Especial,Purina,6.44,Sim,Não,11.0,0.0,3.0,649.57,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Golden Retriever,Fêmea,4.0,28.12,Grande,Ativo,Ração Seca,Hill's Science,0.0,Sim,Não,11.0,0.0,1.0,854.79,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Beagle,Macho,6.0,20.41,Médio,Ativo,Caseira,Special,3.22,Não,Não,11.0,0.0,1.0,672.17,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
German Shepherd,Fêmea,9.0,22.68,Médio,Ativo,Especial,Wellness,4.83,Sim,Não,12.0,1.0,2.0,727.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Dachshund,Macho,6.0,27.67,Grande,Muito Ativo,Úmida,Wellness,1.61,Não,Não,10.0,1.0,0.0,844.51,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Chihuahua,Macho,13.0,14.51,Médio,Moderado,Caseira,Special,9.66,Não,Não,12.0,1.0,2.0,520.41,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
German Shepherd,Macho,10.0,16.78,Médio,Muito Ativo,Úmida,Blue Buffalo,4.83,Sim,Não,9.0,2.0,2.0,580.35,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,Macho,6.0,14.06,Médio,Baixo,Ração Seca,Nutro,3.22,Não,Não,13.0,1.0,2.0,508.26,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Beagle,Macho,3.0,30.84,Grande,Ativo,Caseira,Special,1.61,Sim,Não,10.0,2.0,1.0,916.08,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Siberian Husky,Macho,11.0,30.39,Grande,Muito Ativo,Caseira,Special,3.22,Sim,Não,9.0,1.0,2.0,906.04,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Yorkshire Terrier,Fêmea,9.0,24.95,Médio,Muito Ativo,Especial,Purina,0.0,Não,Não,10.0,2.0,0.0,781.45,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,Macho,9.0,19.05,Médio,Ativo,Ração Seca,Purina,0.0,Sim,Não,9.0,1.0,1.0,638.29,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Australian Shepherd,Macho,3.0,21.32,Médio,Moderado,Especial,Royal Canin,6.44,Não,Não,13.0,1.0,0.0,694.53,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,Macho,12.0,29.48,Grande,Muito Ativo,Úmida,Purina,6.44,Sim,Não,10.0,0.0,0.0,885.61,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Great Dane,Fêmea,9.0,36.29,Grande,Muito Ativo,Ração Seca,Pedigree,4.83,Sim,Não,12.0,2.0,2.0,1035.0,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Beagle,Macho,11.0,34.93,Grande,Muito Ativo,Úmida,Purina,8.05,Não,Não,14.0,3.0,0.0,1005.77,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Golden Retriever,Fêmea,11.0,30.84,Grande,Baixo,Úmida,Pedigree,1.61,Sim,Não,11.0,0.0,0.0,916.08,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Boxer,Macho,9.0,23.13,Médio,Moderado,Especial,Nutro,4.83,Sim,Não,11.0,1.0,1.0,738.29,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
SRD (Sem Raça Definida),Macho,13.0,12.7,Médio,Baixo,Especial,Wellness,0.0,Sim,Não,11.0,2.0,3.0,470.92,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Golden Retriever,Macho,12.0,21.77,Médio,Muito Ativo,Caseira,Special,8.05,Não,Não,11.0,1.0,0.0,705.49,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Yorkshire Terrier,Macho,4.0,21.77,Médio,Moderado,Úmida,Hill's Science,4.83,Não,Sim,13.0,0.0,3.0,705.49,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
German Shepherd,Fêmea,3.0,19.5,Médio,Ativo,Úmida,Wellness,8.05,Sim,Não,13.0,2.0,2.0,649.57,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Dachshund,Fêmea,5.0,22.68,Médio,Muito Ativo,Especial,Special,0.0,Não,Não,11.0,1.0,1.0,727.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Rottweiler,Fêmea,7.0,24.04,Médio,Muito Ativo,Caseira,Special,1.61,Não,Não,9.0,1.0,0.0,759.97,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
SRD (Sem Raça Definida),Fêmea,1.0,22.23,Médio,Muito Ativo,Caseira,Special,6.44,Não,Não,9.0,0.0,2.0,716.64,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,Macho,10.0,22.68,Médio,Moderado,Especial,Wellness,3.22,Sim,Não,10.0,3.0,2.0,727.5,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Doberman,Macho,11.0,20.41,Médio,Ativo,Especial,Royal Canin,1.61,Não,Não,9.0,1.0,1.0,672.17,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,Macho,4.0,10.89,Médio,Ativo,Especial,Pedigree,6.44,Sim,Não,9.0,1.0,1.0,419.63,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
SRD (Sem Raça Definida),Fêmea,6.0,32.66,Grande,Ativo,Ração Seca,Wellness,0.0,Sim,Não,12.0,1.0,2.0,956.34,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Rottweiler,Macho,11.0,23.13,Médio,Muito Ativo,Úmida,Hill's Science,8.05,Sim,Não,11.0,1.0,1.0,738.29,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Golden Retriever,Macho,2.0,32.66,Grande,Ativo,Caseira,Special,6.44,Sim,Não,12.0,4.0,1.0,956.34,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Beagle,Macho,13.0,19.96,Médio,Baixo,Caseira,Special,8.05,Não,Não,11.0,2.0,2.0,661.03,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Great Dane,Macho,9.0,28.58,Grande,Muito Ativo,Ração Seca,Nutro,4.83,Não,Não,14.0,2.0,0.0,865.26,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,Fêmea,8.0,9.98,Pequeno,Moderado,Especial,Royal Canin,0.0,Não,Não,14.0,1.0,2.0,393.05,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Blue Buffalo® Basics™ Small Breed Adult Dry Dog Food - Natural, Turkey"
Rottweiler,Macho,7.0,28.12,Grande,Baixo,Ração Seca,Royal Canin,3.22,Não,Não,10.0,1.0,3.0,854.79,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Rottweiler,Fêmea,8.0,22.68,Médio,Muito Ativo,Caseira,Special,4.83,Sim,Não,11.0,2.0,1.0,727.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,Macho,7.0,22.68,Médio,Muito Ativo,Ração Seca,Iams,3.22,Sim,Não,12.0,0.0,1.0,727.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
German Shepherd,Macho,7.0,30.39,Grande,Muito Ativo,Úmida,Royal Canin,1.61,Não,Não,11.0,1.0,4.0,906.04,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
German Shepherd,Macho,8.0,15.42,Médio,Ativo,Especial,Wellness,1.61,Não,Não,11.0,2.0,3.0,544.7,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Yorkshire Terrier,Macho,3.0,15.88,Médio,Ativo,Ração Seca,Royal Canin,0.0,Sim,Não,13.0,1.0,0.0,556.85,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,Fêmea,2.0,31.3,Grande,Ativo,Úmida,Special,3.22,Sim,Não,10.0,2.0,0.0,926.31,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,Macho,10.0,23.13,Médio,Muito Ativo,Especial,Nutro,4.83,Sim,Não,13.0,0.0,1.0,738.29,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Chihuahua,Fêmea,1.0,20.87,Médio,Ativo,Caseira,Special,4.83,Sim,Não,14.0,1.0,1.0,683.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Golden Retriever,Fêmea,7.0,27.67,Grande,Moderado,Úmida,Pedigree,6.44,Sim,Não,12.0,0.0,2.0,844.51,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Chihuahua,Macho,6.0,19.96,Médio,Baixo,Caseira,Special,4.83,Não,Não,14.0,1.0,2.0,661.03,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
SRD (Sem Raça Definida),Fêmea,13.0,20.87,Médio,Baixo,Caseira,Special,8.05,Sim,Não,9.0,2.0,1.0,683.5,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
German Shepherd,Macho,7.0,24.49,Médio,Ativo,Especial,Wellness,6.44,Não,Não,11.0,0.0,3.0,770.62,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Beagle,Macho,7.0,27.67,Grande,Moderado,Caseira,Special,8.05,Sim,Não,11.0,1.0,2.0,844.51,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Dachshund,Fêmea,7.0,22.23,Médio,Ativo,Ração Seca,Royal Canin,3.22,Sim,Não,10.0,2.0,1.0,716.64,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,Macho,6.0,29.94,Grande,Muito Ativo,Ração Seca,Iams,3.22,Não,Não,12.0,1.0,1.0,895.96,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
