Raca,Idade,peso_kg,porte_animal,Status_Saude,calorias_diarias_RER,Status_Corporal,Sugestao_IA,Acerto
Australian Shepherd,3.0,22.68,Médio,Sim,727.5,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Bulldog,9.0,19.96,Médio,Sim,661.03,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
German Shepherd,6.0,29.03,Grande,Sim,875.45,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Golden Retriever,11.0,23.13,Médio,Sim,738.29,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Doberman,5.0,22.68,Médio,Sim,727.5,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Labrador Retriever,5.0,16.33,Médio,Não,568.64,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Beagle,9.0,17.24,Médio,Sim,592.24,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Great Dane,7.0,22.68,Médio,Sim,727.5,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Australian Shepherd,9.0,25.4,Grande,Sim,792.0,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Boxer,11.0,21.32,Médio,Sim,694.53,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Boxer,6.0,23.13,Médio,Sim,738.29,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Doberman,7.0,20.41,Médio,Sim,672.17,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Poodle,12.0,22.68,Médio,Sim,727.5,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Bulldog,12.0,10.43,Médio,Não,406.27,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Yorkshire Terrier,3.0,12.7,Médio,Sim,470.92,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Doberman,6.0,28.58,Grande,Sim,865.26,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Doberman,10.0,16.33,Médio,Sim,568.64,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Chihuahua,5.0,14.51,Médio,Sim,520.41,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Dachshund,8.0,13.61,Médio,Sim,496.01,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
German Shepherd,13.0,33.11,Grande,Não,966.2,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Boxer,6.0,19.96,Médio,Sim,661.03,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Chihuahua,5.0,26.76,Grande,Sim,823.59,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
SRD (Sem Raça Definida),7.0,24.95,Médio,Sim,781.45,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Australian Shepherd,11.0,26.31,Grande,Sim,813.18,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Siberian Husky,9.0,25.4,Grande,Não,792.0,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Bulldog,13.0,37.65,Grande,Sim,1063.95,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Bulldog,9.0,18.14,Médio,Sim,615.28,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Chihuahua,7.0,29.48,Grande,Sim,885.61,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Rottweiler,2.0,21.32,Médio,Sim,694.53,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Bulldog,11.0,19.5,Médio,Sim,649.57,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Golden Retriever,4.0,28.12,Grande,Não,854.79,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Beagle,6.0,20.41,Médio,Sim,672.17,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
German Shepherd,9.0,22.68,Médio,Sim,727.5,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Dachshund,6.0,27.67,Grande,Sim,844.51,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Chihuahua,13.0,14.51,Médio,Sim,520.41,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
German Shepherd,10.0,16.78,Médio,Sim,580.35,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Doberman,6.0,14.06,Médio,Sim,508.26,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Beagle,3.0,30.84,Grande,Sim,916.08,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Siberian Husky,11.0,30.39,Grande,Sim,906.04,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Yorkshire Terrier,9.0,24.95,Médio,Sim,781.45,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Bulldog,9.0,19.05,Médio,Não,638.29,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Australian Shepherd,3.0,21.32,Médio,Sim,694.53,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Poodle,12.0,29.48,Grande,Não,885.61,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Great Dane,9.0,36.29,Grande,Sim,1035.0,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Beagle,11.0,34.93,Grande,Não,1005.77,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Golden Retriever,11.0,30.84,Grande,Não,916.08,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Boxer,9.0,23.13,Médio,Sim,738.29,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
SRD (Sem Raça Definida),13.0,12.7,Médio,Não,470.92,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Golden Retriever,12.0,21.77,Médio,Sim,705.49,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Yorkshire Terrier,4.0,21.77,Médio,Não,705.49,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
German Shepherd,3.0,19.5,Médio,Não,649.57,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Dachshund,5.0,22.68,Médio,Sim,727.5,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Rottweiler,7.0,24.04,Médio,Sim,759.97,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
SRD (Sem Raça Definida),1.0,22.23,Médio,Sim,716.64,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Doberman,10.0,22.68,Médio,Não,727.5,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Doberman,11.0,20.41,Médio,Sim,672.17,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Boxer,4.0,10.89,Médio,Sim,419.63,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
SRD (Sem Raça Definida),6.0,32.66,Grande,Não,956.34,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Rottweiler,11.0,23.13,Médio,Sim,738.29,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Golden Retriever,2.0,32.66,Grande,Sim,956.34,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Beagle,13.0,19.96,Médio,Sim,661.03,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Great Dane,9.0,28.58,Grande,Sim,865.26,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Bulldog,8.0,9.98,Pequeno,Sim,393.05,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Blue Buffalo® Basics™ Small Breed Adult Dry Dog Food - Natural, Turkey",1
Rottweiler,7.0,28.12,Grande,Sim,854.79,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Rottweiler,8.0,22.68,Médio,Sim,727.5,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Doberman,7.0,22.68,Médio,Sim,727.5,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
German Shepherd,7.0,30.39,Grande,Sim,906.04,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
German Shepherd,8.0,15.42,Médio,Sim,544.7,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Yorkshire Terrier,3.0,15.88,Médio,Sim,556.85,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Poodle,2.0,31.3,Grande,Sim,926.31,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Boxer,10.0,23.13,Médio,Sim,738.29,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Chihuahua,1.0,20.87,Médio,Sim,683.5,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Golden Retriever,7.0,27.67,Grande,Não,844.51,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Chihuahua,6.0,19.96,Médio,Sim,661.03,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
SRD (Sem Raça Definida),13.0,20.87,Médio,Não,683.5,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
German Shepherd,7.0,24.49,Médio,Sim,770.62,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Beagle,7.0,27.67,Grande,Sim,844.51,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Dachshund,7.0,22.23,Médio,Sim,716.64,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Doberman,6.0,29.94,Grande,Sim,895.96,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Chihuahua,5.0,25.4,Grande,Sim,792.0,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Bulldog,9.0,23.13,Médio,Sim,738.29,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Dachshund,4.0,22.23,Médio,Sim,716.64,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Australian Shepherd,13.0,34.02,Grande,Sim,986.05,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Rottweiler,12.0,24.49,Médio,Sim,770.62,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
German Shepherd,2.0,12.7,Médio,Sim,470.92,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Doberman,1.0,19.5,Médio,Sim,649.57,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Poodle,8.0,34.93,Grande,Sim,1005.77,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Beagle,10.0,13.61,Médio,Não,496.01,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Poodle,11.0,27.22,Grande,Sim,834.19,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Labrador Retriever,9.0,18.6,Médio,Sim,626.95,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Doberman,4.0,27.22,Grande,Sim,834.19,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Great Dane,8.0,22.23,Médio,Sim,716.64,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Boxer,10.0,23.59,Médio,Não,749.28,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Beagle,2.0,22.68,Médio,Sim,727.5,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Doberman,2.0,17.24,Médio,Sim,592.24,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Beagle,1.0,15.42,Médio,Não,544.7,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Labrador Retriever,3.0,8.16,Pequeno,Sim,337.96,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Blue Buffalo® Basics™ Small Breed Adult Dry Dog Food - Natural, Turkey",1
Labrador Retriever,3.0,22.68,Médio,Sim,727.5,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Australian Shepherd,6.0,25.4,Grande,Sim,792.0,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Labrador Retriever,11.0,23.13,Médio,Sim,738.29,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Rottweiler,13.0,19.5,Médio,Sim,649.57,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Beagle,10.0,15.42,Médio,Sim,544.7,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Beagle,11.0,13.61,Médio,Sim,496.01,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
SRD (Sem Raça Definida),12.0,28.58,Grande,Não,865.26,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Golden Retriever,1.0,23.13,Médio,Sim,738.29,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Yorkshire Terrier,12.0,26.76,Grande,Sim,823.59,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Australian Shepherd,5.0,29.48,Grande,Sim,885.61,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Poodle,6.0,19.96,Médio,Sim,661.03,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Doberman,2.0,27.67,Grande,Sim,844.51,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Dachshund,7.0,28.12,Grande,Não,854.79,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Yorkshire Terrier,2.0,24.49,Médio,Sim,770.62,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Poodle,12.0,24.95,Médio,Não,781.45,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Golden Retriever,7.0,18.14,Médio,Não,615.28,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Poodle,3.0,7.71,Pequeno,Sim,323.88,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Blue Buffalo® Basics™ Small Breed Adult Dry Dog Food - Natural, Turkey",1
Yorkshire Terrier,11.0,15.88,Médio,Não,556.85,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Great Dane,9.0,21.77,Médio,Sim,705.49,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Poodle,9.0,23.13,Médio,Sim,738.29,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Poodle,2.0,20.87,Médio,Sim,683.5,Peso Ideal,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Golden Retriever,9.0,20.87,Médio,Não,683.5,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Great Dane,7.0,29.03,Grande,Não,875.45,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Dachshund,13.0,22.23,Médio,Sim,716.64,Sobrepeso,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken",1
Labrador Retriever,7.0,12.7,Médio,Sim,470.92,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
Great Dane,11.0,31.3,Grande,Sim,926.31,Sobrepeso,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken",1
Rottweiler,1.0,24.04,Médio,Sim,759.97,Abaixo do Peso,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food",1
